"exp_name";"mse_hist";"mse_sketch"
fixed acidity * volatile acidity;0.000000;2.119357
fixed acidity * volatile acidity;0.004004;0.046634
fixed acidity * volatile acidity;0.000004;1.693691
fixed acidity * volatile acidity;0.000524;0.508545
fixed acidity * volatile acidity;0.001992;0.020890
fixed acidity * volatile acidity;0.000000;3.413199
fixed acidity * volatile acidity;0.000808;0.031567
fixed acidity * volatile acidity;0.000449;0.000968
fixed acidity * volatile acidity;0.000827;0.223221
fixed acidity * volatile acidity;0.000591;0.497848
fixed acidity * volatile acidity;0.000570;0.138323
fixed acidity * volatile acidity;0.002810;0.245333
fixed acidity * volatile acidity;0.000301;0.397911
fixed acidity * volatile acidity;0.000000;3.202818
fixed acidity * volatile acidity;0.004067;0.005745
fixed acidity * volatile acidity;0.000623;0.394417
fixed acidity * volatile acidity;0.001023;0.754900
fixed acidity * volatile acidity;0.001070;0.587321
fixed acidity * volatile acidity;0.000078;0.452355
fixed acidity * volatile acidity;0.000000;0.000017
fixed acidity * volatile acidity;0.000318;0.632820
fixed acidity * volatile acidity;0.000021;0.026484
fixed acidity * volatile acidity;0.002286;0.006474
fixed acidity * volatile acidity;0.000924;0.349307
fixed acidity * volatile acidity;0.000930;0.556180
fixed acidity * volatile acidity;0.000000;5.704385
fixed acidity * volatile acidity;0.001776;0.181532
fixed acidity * volatile acidity;0.004164;0.089735
fixed acidity * volatile acidity;0.000011;0.104252
fixed acidity * volatile acidity;0.001456;0.027327
fixed acidity * volatile acidity;0.000415;0.009166
fixed acidity * volatile acidity;0.002845;0.018402
fixed acidity * volatile acidity;0.001002;0.884425
fixed acidity * volatile acidity;0.000848;0.714153
fixed acidity * volatile acidity;0.000018;0.053024
fixed acidity * volatile acidity;0.000047;0.540277
fixed acidity * volatile acidity;0.000001;1.351758
fixed acidity * volatile acidity;0.000023;0.361739
fixed acidity * volatile acidity;0.000812;0.321777
fixed acidity * volatile acidity;0.000006;1.299498
fixed acidity * volatile acidity;0.000037;1.151381
fixed acidity * volatile acidity;0.000853;0.790807
fixed acidity * volatile acidity;0.000119;0.626526
fixed acidity * volatile acidity;0.003175;0.026441
fixed acidity * volatile acidity;0.000003;1.192911
fixed acidity * volatile acidity;0.001653;0.911031
fixed acidity * volatile acidity;0.000000;2.092762
fixed acidity * volatile acidity;0.000000;0.000291
fixed acidity * volatile acidity;0.000000;2.845882
fixed acidity * volatile acidity;0.001039;0.724340
fixed acidity * volatile acidity;0.000000;3.422867
fixed acidity * volatile acidity;0.003532;0.161796
fixed acidity * volatile acidity;0.000013;1.199910
fixed acidity * volatile acidity;0.000007;0.001607
fixed acidity * volatile acidity;0.000000;5.162656
fixed acidity * volatile acidity;0.000000;1.080273
fixed acidity * volatile acidity;0.001279;0.215208
fixed acidity * volatile acidity;0.002330;0.038937
fixed acidity * volatile acidity;0.000003;1.895626
fixed acidity * volatile acidity;0.000091;0.330695
fixed acidity * volatile acidity;0.000032;0.031456
fixed acidity * volatile acidity;0.000020;1.259644
fixed acidity * volatile acidity;0.000000;1.329413
fixed acidity * volatile acidity;0.000000;0.936981
fixed acidity * volatile acidity;0.000423;0.222313
fixed acidity * volatile acidity;0.000593;0.032701
fixed acidity * volatile acidity;0.001683;0.115201
fixed acidity * volatile acidity;0.000000;2.414145
fixed acidity * volatile acidity;0.000284;0.236344
fixed acidity * volatile acidity;0.000003;0.004382
fixed acidity * volatile acidity;0.000000;2.205609
fixed acidity * volatile acidity;0.000000;0.699025
fixed acidity * volatile acidity;0.000000;0.000002
fixed acidity * volatile acidity;0.000022;1.604994
fixed acidity * volatile acidity;0.000004;2.151947
fixed acidity * volatile acidity;0.000211;0.689828
fixed acidity * volatile acidity;0.005758;0.024114
fixed acidity * volatile acidity;0.001360;0.203890
fixed acidity * volatile acidity;0.000452;0.403088
fixed acidity * volatile acidity;0.000011;0.465393
fixed acidity * volatile acidity;0.000281;0.000311
fixed acidity * volatile acidity;0.000031;1.097387
fixed acidity * volatile acidity;0.001098;0.159089
fixed acidity * volatile acidity;0.000000;1.806957
fixed acidity * volatile acidity;0.000000;3.898699
fixed acidity * volatile acidity;0.000000;3.291695
fixed acidity * volatile acidity;0.000023;1.101655
fixed acidity * volatile acidity;0.000021;0.014744
fixed acidity * volatile acidity;0.000000;1.606392
fixed acidity * volatile acidity;0.003198;0.161601
fixed acidity * volatile acidity;0.000003;2.084042
fixed acidity * volatile acidity;0.000001;0.000493
fixed acidity * volatile acidity;0.000000;0.000044
fixed acidity * volatile acidity;0.000000;2.230112
fixed acidity * volatile acidity;0.000004;1.281235
fixed acidity * volatile acidity;0.000269;0.661619
fixed acidity * volatile acidity;0.000019;0.626683
fixed acidity * volatile acidity;0.000000;0.000329
fixed acidity * volatile acidity;0.000000;1.891661
fixed acidity * volatile acidity;0.000000;3.170803
fixed acidity * citric acid;0.001029;0.440808
fixed acidity * citric acid;0.000107;0.000937
fixed acidity * citric acid;0.000011;0.304231
fixed acidity * citric acid;0.001661;0.182328
fixed acidity * citric acid;0.000007;0.001149
fixed acidity * citric acid;0.000000;0.747433
fixed acidity * citric acid;0.000000;0.000042
fixed acidity * citric acid;0.000000;0.000021
fixed acidity * citric acid;0.000000;0.031200
fixed acidity * citric acid;0.000000;1.147080
fixed acidity * citric acid;0.001062;0.256761
fixed acidity * citric acid;0.000000;0.000149
fixed acidity * citric acid;0.000121;0.005776
fixed acidity * citric acid;0.001820;0.067968
fixed acidity * citric acid;0.000599;0.016014
fixed acidity * citric acid;0.002533;0.222520
fixed acidity * citric acid;0.000833;0.029640
fixed acidity * citric acid;0.001965;0.117991
fixed acidity * citric acid;0.000018;0.904283
fixed acidity * citric acid;0.000000;1.343547
fixed acidity * citric acid;0.000009;0.002076
fixed acidity * citric acid;0.000230;0.002021
fixed acidity * citric acid;0.000104;0.058366
fixed acidity * citric acid;0.000015;0.001614
fixed acidity * citric acid;0.000398;0.351184
fixed acidity * citric acid;0.004060;0.107635
fixed acidity * citric acid;0.000662;0.091186
fixed acidity * citric acid;0.000000;1.372593
fixed acidity * citric acid;0.000063;0.011296
fixed acidity * citric acid;0.003166;0.173952
fixed acidity * citric acid;0.003607;0.017521
fixed acidity * citric acid;0.000040;0.047372
fixed acidity * citric acid;0.000722;0.340511
fixed acidity * citric acid;0.000000;1.603784
fixed acidity * citric acid;0.000000;1.286681
fixed acidity * citric acid;0.000000;1.282317
fixed acidity * citric acid;0.000031;0.005934
fixed acidity * citric acid;0.000001;0.000236
fixed acidity * citric acid;0.000713;0.010972
fixed acidity * citric acid;0.002783;0.144317
fixed acidity * citric acid;0.000444;0.010015
fixed acidity * citric acid;0.000059;0.007917
fixed acidity * citric acid;0.000373;0.005359
fixed acidity * citric acid;0.000006;0.002742
fixed acidity * citric acid;0.003741;0.070478
fixed acidity * citric acid;0.000013;0.007809
fixed acidity * citric acid;0.000000;1.530501
fixed acidity * citric acid;0.000773;0.164653
fixed acidity * citric acid;0.001860;0.256647
fixed acidity * citric acid;0.009291;0.087771
fixed acidity * citric acid;0.000000;0.000109
fixed acidity * citric acid;0.000164;0.124192
fixed acidity * citric acid;0.000000;0.019868
fixed acidity * citric acid;0.000000;1.301452
fixed acidity * citric acid;0.000000;0.657355
fixed acidity * citric acid;0.000015;0.003280
fixed acidity * citric acid;0.000701;0.091359
fixed acidity * citric acid;0.000245;0.004882
fixed acidity * citric acid;0.001840;0.155971
fixed acidity * citric acid;0.000006;0.593866
fixed acidity * citric acid;0.000018;0.897994
fixed acidity * citric acid;0.000000;0.825275
fixed acidity * citric acid;0.000000;0.383980
fixed acidity * citric acid;0.000000;0.508118
fixed acidity * citric acid;0.003169;0.133567
fixed acidity * citric acid;0.000002;0.000983
fixed acidity * citric acid;0.005255;0.060429
fixed acidity * citric acid;0.000007;0.000702
fixed acidity * citric acid;0.001236;0.089991
fixed acidity * citric acid;0.002573;0.077513
fixed acidity * citric acid;0.004182;0.037751
fixed acidity * citric acid;0.000211;0.015013
fixed acidity * citric acid;0.000579;0.078365
fixed acidity * citric acid;0.001397;0.037509
fixed acidity * citric acid;0.005028;0.233020
fixed acidity * citric acid;0.002387;0.064406
fixed acidity * citric acid;0.000218;0.005196
fixed acidity * citric acid;0.001349;0.195475
fixed acidity * citric acid;0.001791;0.093078
fixed acidity * citric acid;0.000001;0.000072
fixed acidity * citric acid;0.000227;0.002267
fixed acidity * citric acid;0.000007;0.002346
fixed acidity * citric acid;0.000663;0.011646
fixed acidity * citric acid;0.000015;0.007167
fixed acidity * citric acid;0.002055;0.192575
fixed acidity * citric acid;0.003451;0.323387
fixed acidity * citric acid;0.001817;0.077044
fixed acidity * citric acid;0.000909;0.294875
fixed acidity * citric acid;0.000000;0.647220
fixed acidity * citric acid;0.000484;0.004826
fixed acidity * citric acid;0.000019;0.424560
fixed acidity * citric acid;0.000000;0.828738
fixed acidity * citric acid;0.000000;0.334691
fixed acidity * citric acid;0.000017;0.003499
fixed acidity * citric acid;0.002725;0.055963
fixed acidity * citric acid;0.001854;0.049849
fixed acidity * citric acid;0.002876;0.036961
fixed acidity * citric acid;0.000000;0.000233
fixed acidity * citric acid;0.000517;0.006317
fixed acidity * citric acid;0.000000;0.457968
fixed acidity * residual sugar;0.004884;0.048059
fixed acidity * residual sugar;0.000000;0.401345
fixed acidity * residual sugar;0.000005;0.000012
fixed acidity * residual sugar;0.000029;0.242369
fixed acidity * residual sugar;0.012939;0.005576
fixed acidity * residual sugar;0.000158;0.114350
fixed acidity * residual sugar;0.000000;0.488620
fixed acidity * residual sugar;0.000000;0.216959
fixed acidity * residual sugar;0.003380;0.037407
fixed acidity * residual sugar;0.000000;0.444277
fixed acidity * residual sugar;0.000004;0.000035
fixed acidity * residual sugar;0.003554;0.006300
fixed acidity * residual sugar;0.000551;0.026876
fixed acidity * residual sugar;0.000000;0.001664
fixed acidity * residual sugar;0.000139;0.053698
fixed acidity * residual sugar;0.000022;0.130003
fixed acidity * residual sugar;0.000503;0.057334
fixed acidity * residual sugar;0.000167;0.041324
fixed acidity * residual sugar;0.001417;0.141141
fixed acidity * residual sugar;0.000536;0.005294
fixed acidity * residual sugar;0.000496;0.086810
fixed acidity * residual sugar;0.001490;0.072845
fixed acidity * residual sugar;0.000002;0.000005
fixed acidity * residual sugar;0.000000;0.000001
fixed acidity * residual sugar;0.000031;0.006038
fixed acidity * residual sugar;0.000022;0.000654
fixed acidity * residual sugar;0.000056;0.076042
fixed acidity * residual sugar;0.001916;0.030252
fixed acidity * residual sugar;0.001518;0.071885
fixed acidity * residual sugar;0.001410;0.096617
fixed acidity * residual sugar;0.001262;0.210806
fixed acidity * residual sugar;0.000000;0.000211
fixed acidity * residual sugar;0.002295;0.020374
fixed acidity * residual sugar;0.000006;0.264033
fixed acidity * residual sugar;0.000019;0.068487
fixed acidity * residual sugar;0.007302;0.010940
