"exp_name";"mse_hist";"mse_sketch"
fixed acidity * volatile acidity;0.003199;0.009480
fixed acidity * volatile acidity;0.007842;0.002653
fixed acidity * volatile acidity;0.000016;0.000743
fixed acidity * volatile acidity;0.000000;0.092875
fixed acidity * volatile acidity;0.001420;0.005305
fixed acidity * volatile acidity;0.000020;0.002003
fixed acidity * volatile acidity;0.000877;0.000473
fixed acidity * volatile acidity;0.000000;0.077267
fixed acidity * volatile acidity;0.000186;0.000002
fixed acidity * volatile acidity;0.003721;0.014058
fixed acidity * volatile acidity;0.000372;0.001792
fixed acidity * volatile acidity;0.000008;0.039653
fixed acidity * volatile acidity;0.002250;0.001020
fixed acidity * volatile acidity;0.000290;0.001477
fixed acidity * volatile acidity;0.000001;0.046252
fixed acidity * volatile acidity;0.000260;0.000283
fixed acidity * volatile acidity;0.001203;0.008352
fixed acidity * volatile acidity;0.000245;0.020767
fixed acidity * volatile acidity;0.000000;0.000078
fixed acidity * volatile acidity;0.000006;0.000215
fixed acidity * volatile acidity;0.000049;0.000240
fixed acidity * volatile acidity;0.001644;0.000684
fixed acidity * volatile acidity;0.000533;0.022623
fixed acidity * volatile acidity;0.000658;0.028346
fixed acidity * volatile acidity;0.000000;0.087000
fixed acidity * volatile acidity;0.000047;0.011640
fixed acidity * volatile acidity;0.000301;0.001932
fixed acidity * volatile acidity;0.000906;0.000032
fixed acidity * volatile acidity;0.001689;0.018097
fixed acidity * volatile acidity;0.001002;0.000992
fixed acidity * volatile acidity;0.000777;0.007488
fixed acidity * volatile acidity;0.000043;0.021120
fixed acidity * volatile acidity;0.000006;0.039977
fixed acidity * volatile acidity;0.000000;0.148748
fixed acidity * volatile acidity;0.004213;0.016860
fixed acidity * volatile acidity;0.000582;0.011171
fixed acidity * volatile acidity;0.000026;0.001170
fixed acidity * volatile acidity;0.000005;0.045820
fixed acidity * volatile acidity;0.000044;0.007856
fixed acidity * volatile acidity;0.000659;0.004710
fixed acidity * volatile acidity;0.000031;0.002884
fixed acidity * volatile acidity;0.000000;0.110124
fixed acidity * volatile acidity;0.000000;0.000018
fixed acidity * volatile acidity;0.000003;0.055499
fixed acidity * volatile acidity;0.000043;0.001521
fixed acidity * volatile acidity;0.001090;0.006826
fixed acidity * volatile acidity;0.000044;0.009689
fixed acidity * volatile acidity;0.000004;0.026666
fixed acidity * volatile acidity;0.000000;0.070260
fixed acidity * volatile acidity;0.001146;0.002099
fixed acidity * volatile acidity;0.000018;0.044675
fixed acidity * volatile acidity;0.000000;0.052610
fixed acidity * volatile acidity;0.000932;0.018133
fixed acidity * volatile acidity;0.000000;0.000000
