"exp_name";"mse_hist";"mse_sketch"
fixed acidity * volatile acidity;0.00285747;0.00272749
fixed acidity * volatile acidity;2.77268e-07;4.2062e-05
fixed acidity * volatile acidity;7.92464e-09;0.0101301
fixed acidity * volatile acidity;1.94599e-07;0.4578
fixed acidity * volatile acidity;0.00555085;0.097322
fixed acidity * volatile acidity;1.6264e-06;6.82638e-06
fixed acidity * volatile acidity;0.000100983;0.00913358
fixed acidity * volatile acidity;6.64557e-08;0.811029
fixed acidity * volatile acidity;0.000190539;0.146463
fixed acidity * volatile acidity;8.5773e-07;0.300431
fixed acidity * volatile acidity;0.00113719;0.08079
fixed acidity * volatile acidity;0.0026693;0.0393041
fixed acidity * volatile acidity;1.84846e-08;0.53646
fixed acidity * volatile acidity;6.56286e-08;0.890886
fixed acidity * volatile acidity;0.0033335;0.0179022
fixed acidity * volatile acidity;4.07006e-06;0.2522
fixed acidity * volatile acidity;9.7959e-08;0.396924
fixed acidity * volatile acidity;1.39044e-07;0.301226
fixed acidity * volatile acidity;0.000911403;0.0521597
fixed acidity * volatile acidity;2.34106e-08;0.597842
fixed acidity * volatile acidity;0.000667514;0.0515202
fixed acidity * volatile acidity;5.78712e-08;0.194417
fixed acidity * volatile acidity;1.81045e-05;0.292515
fixed acidity * volatile acidity;0.00238312;0.00717147
fixed acidity * volatile acidity;0.000499148;0.00440281
fixed acidity * volatile acidity;4.05156e-08;0.482436
fixed acidity * volatile acidity;0.00116406;0.121349
fixed acidity * volatile acidity;0.00243295;0.0229698
fixed acidity * volatile acidity;6.91727e-09;0.000379405
fixed acidity * volatile acidity;0.000872746;0.0855587
fixed acidity * volatile acidity;1.19902e-06;0.164177
fixed acidity * volatile acidity;7.49846e-07;0.166589
fixed acidity * volatile acidity;0.00347118;0.0295282
fixed acidity * volatile acidity;0.00425572;0.0483535
fixed acidity * volatile acidity;1.14469e-08;0.732124
fixed acidity * volatile acidity;0.00510033;0.00521776
fixed acidity * volatile acidity;2.52473e-09;0.695144
fixed acidity * volatile acidity;0.000424044;0.0604528
fixed acidity * volatile acidity;8.90311e-08;0.367347
fixed acidity * volatile acidity;0.00258218;0.000979858
fixed acidity * volatile acidity;1.28794e-08;0.82698
fixed acidity * volatile acidity;7.46958e-09;0.405009
fixed acidity * volatile acidity;0.000378226;0.0419171
fixed acidity * volatile acidity;2.4351e-07;0.119986
fixed acidity * volatile acidity;6.08009e-06;0.296013
fixed acidity * volatile acidity;1.00361e-07;0.262526
fixed acidity * volatile acidity;1.72108e-06;0.444269
fixed acidity * volatile acidity;3.70212e-06;0.000224153
fixed acidity * volatile acidity;6.47086e-07;0.000929455
fixed acidity * volatile acidity;0.00552233;0.0646716
fixed acidity * volatile acidity;0.000120926;0.00326913
fixed acidity * volatile acidity;3.88217e-07;3.30392e-05
fixed acidity * volatile acidity;5.46677e-06;0.000530889
fixed acidity * volatile acidity;2.56684e-11;0.328446
fixed acidity * volatile acidity;7.96438e-05;0.0268976
fixed acidity * volatile acidity;0.00069702;0.01458
fixed acidity * volatile acidity;1.73745e-05;0.113932
fixed acidity * volatile acidity;1.45348e-05;0.00343152
fixed acidity * volatile acidity;0.00972061;0.0436483
fixed acidity * volatile acidity;3.05009e-05;0.0045282
fixed acidity * volatile acidity;0.00208241;0.0492639
fixed acidity * volatile acidity;4.36839e-05;0.0693967
fixed acidity * volatile acidity;2.62209e-05;0.273859
fixed acidity * volatile acidity;2.78402e-05;0.1565
fixed acidity * volatile acidity;0.00290261;0.0372868
fixed acidity * volatile acidity;2.26442e-05;0.0948823
fixed acidity * volatile acidity;8.10589e-06;0.00126354
fixed acidity * volatile acidity;0.00692686;0.00209616
fixed acidity * volatile acidity;0.00104297;0.00221103
fixed acidity * volatile acidity;3.55413e-07;0.166472
fixed acidity * volatile acidity;1.63891e-07;0.486404
fixed acidity * volatile acidity;3.69675e-05;0.0871575
fixed acidity * volatile acidity;0.0047514;0.0184286
fixed acidity * volatile acidity;0.00489715;0.0229663
fixed acidity * volatile acidity;0.00019761;0.0468134
fixed acidity * volatile acidity;1.36899e-08;0.309671
fixed acidity * volatile acidity;6.72571e-06;0.151477
fixed acidity * volatile acidity;0.00463762;0.00122729
fixed acidity * volatile acidity;1.06545e-05;0.131013
fixed acidity * volatile acidity;5.90819e-08;0.438294
fixed acidity * volatile acidity;0.00616066;0.0061788
fixed acidity * volatile acidity;0.00721959;0.0140799
fixed acidity * volatile acidity;1.47344e-09;0.841754
fixed acidity * volatile acidity;0.00129313;0.00459833
fixed acidity * volatile acidity;0.00149886;0.00278263
fixed acidity * volatile acidity;0.00499515;0.000566162
fixed acidity * volatile acidity;0.00267426;0.00102432
fixed acidity * volatile acidity;0.000413494;0.0177019
fixed acidity * volatile acidity;2.657e-07;0.331798
fixed acidity * volatile acidity;1.01159e-05;6.02602e-07
fixed acidity * volatile acidity;0.000505563;0.0487555
fixed acidity * volatile acidity;9.09495e-09;0.444613
fixed acidity * volatile acidity;0.00258526;0.00994212
fixed acidity * volatile acidity;8.02561e-06;0.00194548
fixed acidity * volatile acidity;9.42763e-09;0.629872
fixed acidity * volatile acidity;0.000497947;0.0488377
fixed acidity * volatile acidity;1.09679e-07;1.35317e-05
fixed acidity * volatile acidity;0.000473786;5.74042e-05
fixed acidity * volatile acidity;1.19144e-07;3.02539e-07
fixed acidity * volatile acidity;1.96804e-09;0.00024704
fixed acidity * citric acid;0.00287946;0.00720175
fixed acidity * citric acid;0.00418733;0.00139331
fixed acidity * citric acid;1.06083e-08;0.057328
fixed acidity * citric acid;0.00161925;0.00629981
fixed acidity * citric acid;0.000229529;0.00255928
fixed acidity * citric acid;0.000115997;0.000327857
fixed acidity * citric acid;2.47259e-05;0.0593896
fixed acidity * citric acid;3.08926e-05;0.000873092
fixed acidity * citric acid;2.89243e-07;0.0013004
fixed acidity * citric acid;1.73536e-05;0.0208138
fixed acidity * citric acid;0.00232974;0.0337998
fixed acidity * citric acid;1.38017e-08;0.0903842
fixed acidity * citric acid;0.000348576;0.00264532
fixed acidity * citric acid;0.000599491;0.0439282
fixed acidity * citric acid;8.47983e-05;6.45517e-05
fixed acidity * citric acid;0.000268498;0.0174023
fixed acidity * citric acid;1.72248e-07;0.0563395
fixed acidity * citric acid;0.0018934;0.0298494
fixed acidity * citric acid;0.00167834;0.00277201
fixed acidity * citric acid;1.10338e-06;1.90471e-06
fixed acidity * citric acid;0.00356154;0.0152137
fixed acidity * citric acid;1.83631e-05;0.00197903
fixed acidity * citric acid;0.000361946;0.015165
fixed acidity * citric acid;0.00423554;0.0100811
fixed acidity * citric acid;0.0142487;0.000791872
fixed acidity * citric acid;0.00136435;0.00684357
fixed acidity * citric acid;0.00032699;0.0113254
fixed acidity * citric acid;1.44876e-05;0.00253651
fixed acidity * citric acid;0.000393712;0.000255469
fixed acidity * citric acid;0.000271149;0.00719225
fixed acidity * citric acid;4.6193e-07;0.00137212
fixed acidity * citric acid;0.00718096;0.00499746
