"exp_name";"mse_hist";"mse_sketch"
fixed acidity * volatile acidity;0.000003;0.000001
fixed acidity * volatile acidity;0.000001;0.001418
fixed acidity * volatile acidity;0.004380;0.000492
fixed acidity * volatile acidity;0.001786;0.000319
fixed acidity * volatile acidity;0.000878;0.000014
fixed acidity * volatile acidity;0.000006;0.000002
fixed acidity * volatile acidity;0.000003;0.002002
fixed acidity * volatile acidity;0.000799;0.000060
fixed acidity * volatile acidity;0.000550;0.000016
fixed acidity * volatile acidity;0.000001;0.001449
fixed acidity * volatile acidity;0.008471;0.000506
fixed acidity * volatile acidity;0.000897;0.000708
fixed acidity * volatile acidity;0.002890;0.000019
fixed acidity * volatile acidity;0.000577;0.001049
fixed acidity * volatile acidity;0.000002;0.002005
fixed acidity * volatile acidity;0.004600;0.001144
fixed acidity * volatile acidity;0.000000;0.003216
fixed acidity * volatile acidity;0.000053;0.000785
fixed acidity * volatile acidity;0.000000;0.000000
fixed acidity * volatile acidity;0.001287;0.000180
fixed acidity * volatile acidity;0.000005;0.001294
fixed acidity * volatile acidity;0.000000;0.002776
fixed acidity * volatile acidity;0.000004;0.000001
fixed acidity * volatile acidity;0.001369;0.000018
fixed acidity * volatile acidity;0.001503;0.000842
fixed acidity * volatile acidity;0.000000;0.002207
fixed acidity * volatile acidity;0.003441;0.000001
fixed acidity * volatile acidity;0.001176;0.000360
fixed acidity * volatile acidity;0.000032;0.001109
fixed acidity * volatile acidity;0.001328;0.000280
fixed acidity * volatile acidity;0.000034;0.000625
fixed acidity * volatile acidity;0.005288;0.000015
fixed acidity * volatile acidity;0.000021;0.001408
fixed acidity * volatile acidity;0.000004;0.002001
fixed acidity * volatile acidity;0.000000;0.000676
fixed acidity * volatile acidity;0.000009;0.001508
fixed acidity * volatile acidity;0.000000;0.002951
fixed acidity * volatile acidity;0.001373;0.000153
fixed acidity * volatile acidity;0.000001;0.000001
fixed acidity * volatile acidity;0.002229;0.000658
fixed acidity * volatile acidity;0.000001;0.000005
fixed acidity * volatile acidity;0.000241;0.000073
fixed acidity * volatile acidity;0.000482;0.000336
fixed acidity * volatile acidity;0.000003;0.000004
fixed acidity * volatile acidity;0.000056;0.000654
fixed acidity * volatile acidity;0.001377;0.000007
fixed acidity * volatile acidity;0.000000;0.000020
fixed acidity * volatile acidity;0.000789;0.000579
fixed acidity * volatile acidity;0.001284;0.000069
fixed acidity * volatile acidity;0.000012;0.000003
fixed acidity * volatile acidity;0.000112;0.000000
fixed acidity * volatile acidity;0.000056;0.000567
fixed acidity * volatile acidity;0.000000;0.002656
fixed acidity * volatile acidity;0.000029;0.001141
fixed acidity * volatile acidity;0.000000;0.003855
fixed acidity * volatile acidity;0.001601;0.000182
fixed acidity * volatile acidity;0.000000;0.002538
fixed acidity * volatile acidity;0.000807;0.000605
fixed acidity * volatile acidity;0.002527;0.000572
fixed acidity * volatile acidity;0.001203;0.000774
fixed acidity * volatile acidity;0.002695;0.000040
fixed acidity * volatile acidity;0.000003;0.001845
fixed acidity * volatile acidity;0.001527;0.000017
fixed acidity * volatile acidity;0.003329;0.000005
fixed acidity * volatile acidity;0.000061;0.000714
fixed acidity * volatile acidity;0.000001;0.000342
fixed acidity * volatile acidity;0.001148;0.000364
fixed acidity * volatile acidity;0.000003;0.001382
fixed acidity * volatile acidity;0.000245;0.001205
fixed acidity * volatile acidity;0.001177;0.001016
fixed acidity * volatile acidity;0.002039;0.000159
fixed acidity * volatile acidity;0.000604;0.000005
fixed acidity * volatile acidity;0.000230;0.000004
fixed acidity * volatile acidity;0.000631;0.000161
fixed acidity * volatile acidity;0.000001;0.000001
fixed acidity * volatile acidity;0.000000;0.000638
fixed acidity * volatile acidity;0.001886;0.000068
fixed acidity * volatile acidity;0.001043;0.000407
fixed acidity * volatile acidity;0.004494;0.000002
fixed acidity * volatile acidity;0.000006;0.001507
fixed acidity * volatile acidity;0.000007;0.000749
