"exp_name";"mse_hist";"mse_sketch"
fixed acidity * volatile acidity;0.000004;55.196259
fixed acidity * volatile acidity;0.000026;43.566521
fixed acidity * volatile acidity;0.001540;38.266518
fixed acidity * volatile acidity;0.000285;9.048428
fixed acidity * volatile acidity;0.002177;5.915688
fixed acidity * volatile acidity;0.000000;92.020424
fixed acidity * volatile acidity;0.000003;43.601154
fixed acidity * volatile acidity;0.003753;7.385611
fixed acidity * volatile acidity;0.000025;1.188578
fixed acidity * volatile acidity;0.004456;0.516120
fixed acidity * volatile acidity;0.001181;12.813932
fixed acidity * volatile acidity;0.000235;2.592722
fixed acidity * volatile acidity;0.000284;0.084107
fixed acidity * volatile acidity;0.000000;108.841133
fixed acidity * volatile acidity;0.002930;11.207214
fixed acidity * volatile acidity;0.000118;2.438463
fixed acidity * volatile acidity;0.001860;3.517509
fixed acidity * volatile acidity;0.000000;84.796562
fixed acidity * volatile acidity;0.001546;13.505836
fixed acidity * volatile acidity;0.000306;13.612397
fixed acidity * volatile acidity;0.000000;95.675316
fixed acidity * volatile acidity;0.000000;84.189606
fixed acidity * volatile acidity;0.004965;1.079172
fixed acidity * volatile acidity;0.003943;1.534591
fixed acidity * volatile acidity;0.000013;2.152050
fixed acidity * volatile acidity;0.000891;13.730288
fixed acidity * volatile acidity;0.003786;4.317486
fixed acidity * volatile acidity;0.000005;36.046597
fixed acidity * volatile acidity;0.000009;23.498190
fixed acidity * volatile acidity;0.002939;10.807188
fixed acidity * volatile acidity;0.000003;0.190430
fixed acidity * volatile acidity;0.000003;73.858307
fixed acidity * volatile acidity;0.000035;43.879082
fixed acidity * volatile acidity;0.000197;13.760295
fixed acidity * volatile acidity;0.005825;0.933831
fixed acidity * volatile acidity;0.000125;0.131825
fixed acidity * volatile acidity;0.000000;0.006046
fixed acidity * volatile acidity;0.000722;14.507310
fixed acidity * volatile acidity;0.000890;24.395851
fixed acidity * volatile acidity;0.000019;28.516346
fixed acidity * volatile acidity;0.000961;2.842603
fixed acidity * volatile acidity;0.000000;0.000342
fixed acidity * volatile acidity;0.000006;37.628269
fixed acidity * volatile acidity;0.000192;0.979288
fixed acidity * volatile acidity;0.000349;11.536726
fixed acidity * volatile acidity;0.000003;77.605301
fixed acidity * volatile acidity;0.000000;153.228683
fixed acidity * volatile acidity;0.000090;1.137264
fixed acidity * volatile acidity;0.000011;16.786345
fixed acidity * volatile acidity;0.000541;0.009217
fixed acidity * volatile acidity;0.000031;33.631870
fixed acidity * volatile acidity;0.000000;1.558333
fixed acidity * volatile acidity;0.000000;110.309151
fixed acidity * volatile acidity;0.000253;6.209864
fixed acidity * volatile acidity;0.000000;55.138607
fixed acidity * volatile acidity;0.000006;17.840681
fixed acidity * volatile acidity;0.000000;67.372787
fixed acidity * volatile acidity;0.003617;5.257275
fixed acidity * volatile acidity;0.001039;16.525013
fixed acidity * volatile acidity;0.000055;20.783911
fixed acidity * volatile acidity;0.000011;27.402910
fixed acidity * volatile acidity;0.000062;1.899316
fixed acidity * volatile acidity;0.002526;2.116987
