"exp_name";"mse_hist";"mse_sketch"
fixed acidity * volatile acidity;0.000054;757.477112
fixed acidity * volatile acidity;0.000000;8310.662109
fixed acidity * volatile acidity;0.000001;5848.205078
fixed acidity * volatile acidity;0.000000;0.040254
fixed acidity * volatile acidity;0.000000;10693.464844
fixed acidity * volatile acidity;0.000006;3660.288818
fixed acidity * volatile acidity;0.001157;55.683777
fixed acidity * volatile acidity;0.000004;8452.482422
fixed acidity * volatile acidity;0.001137;7.639217
fixed acidity * volatile acidity;0.000706;1245.600952
fixed acidity * volatile acidity;0.003061;247.487396
fixed acidity * volatile acidity;0.000014;3935.068604
fixed acidity * volatile acidity;0.000018;11625.306641
fixed acidity * volatile acidity;0.000004;9007.051758
fixed acidity * volatile acidity;0.000001;13399.171875
fixed acidity * volatile acidity;0.000850;252.193085
fixed acidity * volatile acidity;0.000144;11.215879
fixed acidity * volatile acidity;0.001356;1118.849731
fixed acidity * volatile acidity;0.000450;6983.670898
fixed acidity * volatile acidity;0.002864;155.025192
fixed acidity * volatile acidity;0.000008;14589.601562
fixed acidity * volatile acidity;0.000000;9455.905273
fixed acidity * volatile acidity;0.000298;413.194427
fixed acidity * volatile acidity;0.006533;4161.398438
fixed acidity * volatile acidity;0.001288;5129.621582
fixed acidity * volatile acidity;0.005709;2824.341553
fixed acidity * volatile acidity;0.000006;37.837753
fixed acidity * volatile acidity;0.007152;1282.694946
fixed acidity * volatile acidity;0.001088;2406.072998
fixed acidity * volatile acidity;0.000029;188.551697
fixed acidity * volatile acidity;0.000002;8260.739258
fixed acidity * volatile acidity;0.000000;0.095736
fixed acidity * volatile acidity;0.000010;11660.737305
fixed acidity * volatile acidity;0.000409;13.105578
fixed acidity * volatile acidity;0.000002;9039.225586
fixed acidity * volatile acidity;0.001707;352.612549
fixed acidity * volatile acidity;0.000004;11987.993164
fixed acidity * volatile acidity;0.000061;494.096405
fixed acidity * volatile acidity;0.007039;895.519714
fixed acidity * volatile acidity;0.000000;15343.074219
fixed acidity * volatile acidity;0.000063;54.891529
fixed acidity * volatile acidity;0.001218;1079.093872
fixed acidity * volatile acidity;0.000029;193.968735
fixed acidity * volatile acidity;0.000000;30385.794922
fixed acidity * volatile acidity;0.000008;605.829773
fixed acidity * volatile acidity;0.000245;2.079852
fixed acidity * volatile acidity;0.000085;6681.462402
fixed acidity * volatile acidity;0.000000;2.429989
fixed acidity * volatile acidity;0.000204;2624.038818
fixed acidity * volatile acidity;0.002302;249.567078
fixed acidity * volatile acidity;0.000024;6354.500000
fixed acidity * volatile acidity;0.000004;10042.971680
fixed acidity * volatile acidity;0.000006;0.034441
fixed acidity * volatile acidity;0.001008;2833.320068
fixed acidity * volatile acidity;0.002980;454.262665
fixed acidity * volatile acidity;0.000413;3371.804199
