"exp_name";"mse_hist";"mse_sketch"
fixed acidity * volatile acidity;0.000012;89.745705
fixed acidity * volatile acidity;0.000212;91.825523
fixed acidity * volatile acidity;0.000003;2240.541504
fixed acidity * volatile acidity;0.002115;2.314142
fixed acidity * volatile acidity;0.002462;241.374557
fixed acidity * volatile acidity;0.000000;3679.569824
fixed acidity * volatile acidity;0.000227;1.957368
fixed acidity * volatile acidity;0.000017;23.639822
fixed acidity * volatile acidity;0.000006;1647.631714
fixed acidity * volatile acidity;0.004023;160.287064
fixed acidity * volatile acidity;0.000136;33.123814
fixed acidity * volatile acidity;0.000006;8.590686
fixed acidity * volatile acidity;0.000000;3059.698486
fixed acidity * volatile acidity;0.000004;2260.727051
fixed acidity * volatile acidity;0.000000;7085.433594
fixed acidity * volatile acidity;0.000015;25.476704
fixed acidity * volatile acidity;0.000000;5946.660645
fixed acidity * volatile acidity;0.000000;0.846744
fixed acidity * volatile acidity;0.000269;356.919434
fixed acidity * volatile acidity;0.000000;4391.036133
fixed acidity * volatile acidity;0.000020;1242.609009
fixed acidity * volatile acidity;0.005511;15.142707
fixed acidity * volatile acidity;0.000544;1561.456299
fixed acidity * volatile acidity;0.000006;2760.103271
fixed acidity * volatile acidity;0.000027;2927.945312
fixed acidity * volatile acidity;0.004222;729.094543
fixed acidity * volatile acidity;0.000010;3.969103
fixed acidity * volatile acidity;0.000000;4988.602051
fixed acidity * volatile acidity;0.000000;4216.474609
fixed acidity * volatile acidity;0.000210;987.533447
fixed acidity * volatile acidity;0.000029;778.620300
fixed acidity * volatile acidity;0.000012;964.245056
fixed acidity * volatile acidity;0.005063;579.015869
fixed acidity * volatile acidity;0.002095;143.747910
fixed acidity * volatile acidity;0.003575;296.710022
fixed acidity * volatile acidity;0.000028;3042.744629
fixed acidity * volatile acidity;0.004133;56.248032
fixed acidity * volatile acidity;0.000008;11.623678
fixed acidity * volatile acidity;0.000001;0.889197
fixed acidity * volatile acidity;0.000007;2169.465576
fixed acidity * volatile acidity;0.004785;5.760118
fixed acidity * volatile acidity;0.000028;830.771179
fixed acidity * volatile acidity;0.005233;133.934067
fixed acidity * volatile acidity;0.002683;161.970764
fixed acidity * volatile acidity;0.000000;5442.347656
fixed acidity * volatile acidity;0.000007;54.559513
fixed acidity * volatile acidity;0.004483;223.738739
fixed acidity * volatile acidity;0.000001;2641.917725
fixed acidity * volatile acidity;0.000208;59.620728
fixed acidity * volatile acidity;0.003873;215.107178
fixed acidity * volatile acidity;0.000014;19.732426
fixed acidity * volatile acidity;0.000000;771.190918
fixed acidity * volatile acidity;0.000000;5218.163086
fixed acidity * volatile acidity;0.005736;386.438812
fixed acidity * volatile acidity;0.000537;752.571167
fixed acidity * volatile acidity;0.000029;1705.961304
fixed acidity * volatile acidity;0.000000;0.006812
fixed acidity * volatile acidity;0.002319;110.188644
fixed acidity * volatile acidity;0.001907;575.568787
fixed acidity * volatile acidity;0.001037;489.934326
fixed acidity * volatile acidity;0.000046;1090.489258
fixed acidity * volatile acidity;0.000003;2387.275146
fixed acidity * volatile acidity;0.000000;3290.101074
fixed acidity * volatile acidity;0.000000;0.464024
fixed acidity * volatile acidity;0.000692;597.294312
fixed acidity * volatile acidity;0.003096;9.572282
fixed acidity * volatile acidity;0.000005;2940.989746
fixed acidity * volatile acidity;0.001554;1652.546021
fixed acidity * volatile acidity;0.001535;276.767517
fixed acidity * volatile acidity;0.000004;2246.464355
fixed acidity * volatile acidity;0.000049;578.892212
fixed acidity * volatile acidity;0.000292;274.181732
fixed acidity * volatile acidity;0.001877;579.981323
fixed acidity * volatile acidity;0.000000;6711.568848
fixed acidity * volatile acidity;0.003328;151.275482
fixed acidity * volatile acidity;0.000025;25.724642
fixed acidity * volatile acidity;0.000006;2658.576172
fixed acidity * volatile acidity;0.000002;2.210678
fixed acidity * volatile acidity;0.000034;108.146904
fixed acidity * volatile acidity;0.005410;687.186523
fixed acidity * volatile acidity;0.003223;49.008320
fixed acidity * volatile acidity;0.000929;716.294556
fixed acidity * volatile acidity;0.002369;249.035202
fixed acidity * volatile acidity;0.001293;566.532227
fixed acidity * volatile acidity;0.003448;65.987190
fixed acidity * volatile acidity;0.000077;457.541046
fixed acidity * volatile acidity;0.000126;1509.185791
fixed acidity * volatile acidity;0.000001;2.193746
fixed acidity * volatile acidity;0.000966;909.532166
fixed acidity * volatile acidity;0.000008;1166.881836
fixed acidity * volatile acidity;0.000000;3207.437500
fixed acidity * volatile acidity;0.000369;378.283325
fixed acidity * volatile acidity;0.004641;41.971676
fixed acidity * volatile acidity;0.003389;357.517914
fixed acidity * volatile acidity;0.004111;234.138428
fixed acidity * volatile acidity;0.001398;254.601669
fixed acidity * volatile acidity;0.005133;18.751423
fixed acidity * volatile acidity;0.000003;3117.584717
fixed acidity * volatile acidity;0.000217;11.621419
fixed acidity * volatile acidity;0.003910;22.431807
fixed acidity * citric acid;0.000039;1.959564
fixed acidity * citric acid;0.000071;1237.692017
fixed acidity * citric acid;0.000000;1707.155151
fixed acidity * citric acid;0.000438;45.060692
fixed acidity * citric acid;0.001289;280.577271
fixed acidity * citric acid;0.000232;82.473694
fixed acidity * citric acid;0.000383;63.879505
fixed acidity * citric acid;0.005053;969.085754
fixed acidity * citric acid;0.000000;2025.168945
fixed acidity * citric acid;0.000944;1155.568970
fixed acidity * citric acid;0.000187;639.599121
fixed acidity * citric acid;0.000963;103.472244
fixed acidity * citric acid;0.002149;514.597351
fixed acidity * citric acid;0.000000;6601.357910
fixed acidity * citric acid;0.001095;324.084808
fixed acidity * citric acid;0.000009;8.004091
fixed acidity * citric acid;0.000630;615.314636
fixed acidity * citric acid;0.000958;109.375412
fixed acidity * citric acid;0.000000;0.000395
fixed acidity * citric acid;0.000516;428.245514
fixed acidity * citric acid;0.002576;1091.651001
fixed acidity * citric acid;0.000007;1139.446167
fixed acidity * citric acid;0.000317;5.733017
fixed acidity * citric acid;0.000656;28.173878
fixed acidity * citric acid;0.000000;3264.070557
fixed acidity * citric acid;0.000013;160.573563
fixed acidity * citric acid;0.001082;306.729156
fixed acidity * citric acid;0.000025;23.140921
fixed acidity * citric acid;0.004263;249.969025
fixed acidity * citric acid;0.000012;2.861705
fixed acidity * citric acid;0.000147;68.205971
fixed acidity * citric acid;0.000819;52.051796
fixed acidity * citric acid;0.001170;249.138672
fixed acidity * citric acid;0.001368;694.674500
fixed acidity * citric acid;0.000264;345.886566
fixed acidity * citric acid;0.000098;212.674744
fixed acidity * citric acid;0.000000;4502.249023
fixed acidity * citric acid;0.000016;2.000878
fixed acidity * citric acid;0.000000;1835.367920
fixed acidity * citric acid;0.000994;725.448364
fixed acidity * citric acid;0.002804;48.862404
fixed acidity * citric acid;0.000000;2829.553711
fixed acidity * citric acid;0.001062;340.593628
